"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","3,324.50","3,399.60","3,406.00","3,282.30","1.45M","-2.87%"
"12-03-2026","3,422.60","3,554.10","3,564.80","3,402.80","2.59M","-4.95%"
"11-03-2026","3,600.80","3,780.00","3,797.50","3,590.50","1.25M","-4.87%"
"10-03-2026","3,785.10","3,708.00","3,793.10","3,661.50","957.43K","4.34%"
"09-03-2026","3,627.80","3,699.00","3,706.20","3,582.50","1.05M","-4.13%"
"06-03-2026","3,784.00","3,806.90","3,825.00","3,767.90","571.67K","-0.90%"
"05-03-2026","3,818.40","3,775.00","3,833.70","3,736.00","711.11K","1.91%"
"04-03-2026","3,746.70","3,725.00","3,765.80","3,645.30","1.22M","-1.74%"
"02-03-2026","3,813.10","3,780.00","3,907.20","3,746.00","1.00M","-1.46%"
"27-02-2026","3,869.70","3,954.20","3,968.20","3,856.00","1.41M","-2.14%"
"26-02-2026","3,954.20","3,950.90","3,970.00","3,918.10","642.74K","0.56%"
"25-02-2026","3,932.00","3,812.10","3,945.00","3,800.20","647.29K","3.03%"
"24-02-2026","3,816.20","3,830.00","3,835.00","3,743.40","896.50K","-0.34%"
"23-02-2026","3,829.10","3,835.00","3,894.80","3,814.20","605.95K","0.34%"
"20-02-2026","3,816.20","3,830.10","3,867.90","3,791.70","386.59K","-0.36%"
"19-02-2026","3,830.10","3,888.00","3,896.90","3,820.00","309.70K","-1.42%"
"18-02-2026","3,885.20","3,885.00","3,898.30","3,854.10","245.62K","0.19%"
"17-02-2026","3,877.80","3,807.40","3,883.60","3,787.00","377.69K","1.85%"
"16-02-2026","3,807.40","3,860.00","3,889.80","3,793.60","333.08K","-1.48%"
