"Date","Price","Open","High","Low","Vol.","Change %"
"13-03-2026","884.35","900.00","905.85","881.90","2.56M","-1.98%"
"12-03-2026","902.20","911.10","912.75","899.10","1.83M","-1.76%"
"11-03-2026","918.40","937.30","947.50","914.40","1.68M","-2.14%"
"10-03-2026","938.50","941.20","951.30","929.10","1.97M","0.74%"
"09-03-2026","931.65","943.40","948.30","913.60","2.56M","-3.38%"
"06-03-2026","964.25","972.10","980.15","962.10","1.17M","-0.95%"
"05-03-2026","973.45","952.50","976.05","949.75","1.88M","2.89%"
"04-03-2026","946.10","943.70","956.80","935.30","2.34M","-0.54%"
"02-03-2026","951.25","895.05","963.50","895.05","2.53M","-0.74%"
"27-02-2026","958.35","976.00","976.00","951.00","22.83M","-1.48%"
"26-02-2026","972.70","982.10","983.95","967.45","3.62M","-0.96%"
"25-02-2026","982.10","1,003.80","1,007.85","977.60","2.81M","-2.01%"
"24-02-2026","1,002.20","970.00","1,009.85","968.70","3.31M","2.88%"
"23-02-2026","974.10","993.00","998.75","950.00","13.48M","-5.40%"
"20-02-2026","1,029.65","1,014.00","1,032.50","1,009.20","1.75M","1.24%"
"19-02-2026","1,017.05","1,023.50","1,039.20","1,014.00","2.14M","-0.49%"
"18-02-2026","1,022.05","1,001.90","1,024.10","995.70","3.08M","2.23%"
"17-02-2026","999.75","1,014.40","1,014.40","994.55","1.97M","-1.01%"
"16-02-2026","1,010.00","990.00","1,011.00","985.85","2.09M","1.52%"
"13-02-2026","994.90","998.10","1,004.60","984.65","1.80M","-0.57%"
